 C¢digo; Nombre;  Direcci¢n; TelÇfono; Nombre Rector; Sector; Zona; N£mero de Sedes; Correo Electr¢nico
276001005184;INSTITUCION EDUCATIVA LA BUITRERA;IND K.3 CORREGIMIENTO LA BUITRERA;312 6660068;JORGE ENRIQUE SILVA BASTIDAS;OFICIAL;RURAL,URBANA;5;admin@ielabuitreracali.edu.co
176001040119;INSTITUCION EDUCATIVA RODRIGO LLOREDA CAICEDO;IND CL 38 A 47 A 45;3283404 / 3164805570;AMPARO DE JESUS CASADIEGO PAZ;OFICIAL;URBANA;4;admin@ierodrigolloredacali.edu.co
176001030796;INSTITUCION EDUCATIVA TECNICO INDUSTRIAL VEINTE DE JULIO;IND KR 5 NORTE 33 01;3450764 3450765 / 321 7553006;MARIA DEL ROSARIO GUEVARA VILLA;OFICIAL;URBANA;3;rosi-gue@hotmail.com
276001042756;INSTITUCION EDUCATIVA LA PAZ;IND CORREGIMIENTO LA PAZ;312 2586643;EDGAR JAVIER CUARAN ERAZO ;OFICIAL;RURAL,URBANA;5;admin@ielapazcali.edu.co
176001001745;INSTITUCION EDUCATIVA  LICEO DEPARTAMENTAL;IND KR 37 A 8 38;5141714 5578912;LUZ ADRIANA GIRALDO SANCHEZ;OFICIAL;URBANA;3;ie_liceodepartamental@yahoo.es
176001015975;INSTITUCION EDUCATIVA CIUDAD CORDOBA;IND CL 50 49 C 100;4836871;RAFAEL ALBERTO OTERO GONZALEZ;OFICIAL;URBANA;3;admin@ieciudadcordobacali.edu.co
176001005341;INSTITUCION EDUCATIVA TECNICA CIUDAD DE CALI;IND CL 30 25 00;3087732 / 304 4887782;DIEGO MAURICIO DEJEAS MOREIRA;OFICIAL;URBANA;5;cidecarector@outlook.com
176001007115;INSTITUCION EDUCATIVA EL DIAMANTE;IND KR 31 41 00;3995982;CARLOS FERNANDO ZEA HINCAPIE;OFICIAL;URBANA;3;ineldiamante@gmail.com
176001005813;INSTITUCION EDUCATIVA INEM JORGE ISAACS;CL 5 NORTE 61 126 ;4470128 320 6180085;SOLANGELLIE ARANGO NIETO;OFICIAL;URBANA;7;inemcali@gmail.com
276364001610;I.E. COMUNITARIA LUIS CARLOS VALENCIA;CORREG DE VILLA PAZ;3164819826;NUBIA RUTH ANGULO;OFICIAL;RURAL;2;eduvalencia@jamundi.gov.co
276364000460;I.E. ALFONSO LOPEZ PUMAREJO;CORREG DE POTRERITO;5900239;LUZ JENNY LOZANO BURBANO;OFICIAL;RURAL;6;edupumarejo@jamundi.gov.co
276364000605;I.E. SIXTO MARIA ROJAS;CORREG QUINAMAYO;3113077814;CLAUDIA INES GUTIERREZ DIAS;OFICIAL;RURAL;3;edurojas@jamundi.gov.co
