C¢digo municipio; Nombre municipio; C¢digo Establecimiento; Nombre Establecimiento; C¢digo Sede; Nombre Sede; Zona; Direcci¢n; TelÇfono
76036;ANDALUC÷A;276036000037;IE AGRICOLA CAMPOALEGRE;276036000151;MARCO FIDEL SUAREZ;RURAL;CORREG ZABALETAS;
76036;ANDALUC÷A;276036000037;IE AGRICOLA CAMPOALEGRE;276036000207;JOSE MARIA CORDOBA;RURAL;CORREG ALTAFLOR;
76036;ANDALUC÷A;276036000037;IE AGRICOLA CAMPOALEGRE;276036000037;AGRICOLA CAMPOALEGRE;RURAL;CORREG CAMPOALEGRE;3136984566
76020;ALCALµ;176036000024;IE ELEAZAR LIBREROS SALAMANCA;176036000385;EL PE•ON;URBANA;CL 24 KR 3 ESQ ;
76036;ANDALUC÷A;176036000024;IE ELEAZAR LIBREROS SALAMANCA;176036000261;PEDRO ANTONIO MOLINA;URBANA;KR 5 21 116 ;
76041;ANSERMANUEVO;276041000746;IE EL PLACER;276041000193;DIVINO SALVADOR;RURAL;VDA SANTA BARBARA;
76041;ANSERMANUEVO;276041000371;IE JORGE ISAACS;276041000088;CARTAGENA DE INDIAS;RURAL;CGTO. LA CABA•A;
76041;ANSERMANUEVO;276041000363;IE SANTA INES;276041000541;PABLO SEXTO;RURAL;VDA EL PEDRAL;2156640
76041;ANSERMANUEVO;176041000016;IE SANTA ANA DE LOS CABALLEROS;176041000831;LAUREANO GOMEZ;URBANA;BARRIO NUEVO HORIZONTE;
76041;ANSERMANUEVO;176041000016;IE SANTA ANA DE LOS CABALLEROS;276041000266;MARIA MONTESSORI;RURAL;CORREG GRAMALOTE;2052942
76041;ANSERMANUEVO;176041000016;IE SANTA ANA DE LOS CABALLEROS;176041000636;MARINO OROZCO;URBANA;BARRIO BOLIVAR;
76054;ARGELIA;476054000019;IE SANTIAGO GUTIERREZ ANGEL;276054000214;SANTA ELENA;RURAL;CORREG. MARACAIBO;2.06811e+006
76054;ARGELIA;476054000019;IE SANTIAGO GUTIERREZ ANGEL;476054000019;SANTIAGO GUTIERREZ ANGEL;RURAL;VDA LA ESTRELLA;2.06811E+006
76054;ARGELIA;176054000023;IE GILBERTO ALZATE AVENDA•O.;176054000155;MANUEL MEJIA VêLEZ;URBANA;CLL  3A LA FLORESTA;2068127
76100;BOL÷VAR;276828000387;IE RODRIGO LLOREDA CAICEDO;276828000425;POLICARPA SALAVARRIETA;RURAL;VDA SAN ISIDRO;3167443768
76100;BOL÷VAR;276100000259;IE PRIMAVERA;276100000160;SAN JUAN BAUTISTA;RURAL;VDA LA ALDANA;
76100;BOL÷VAR;276100000704;IE BETANIA;276100000038;DIVINO ECCE HOMO;RURAL;CORREG BETANIA;
76100;BOL÷VAR;276100000704;IE BETANIA;276100000631;LA CARMELITA;RURAL;VDA CARTAGUITO;
76100;BOL÷VAR;276100000704;IE BETANIA;276100000909;PABLO VI;RURAL;VDA RIO AZUL;
76100;BOL÷VAR;276100000542;IE NARANJAL;276100000828;MARIA INMACULADA;RURAL;VDA LA TORRE;
76100;BOL÷VAR;276100000518;IE LA TULIA;276100000518;MANUEL DOLORES MONDRAGON;RURAL;CORREG LA TULIA;2299914
76100;BOL÷VAR;176100000254;IE MANUEL DOLORES MONDRAGON;176100000840;SANTA ANA;URBANA;CRA 5A NO 4-13;2224030
76100;BOL÷VAR;176100000254;IE MANUEL DOLORES MONDRAGON;176100000858;SAN JOSE;URBANA;BARRIO SAN JOSE;2224063
76100;BOL÷VAR;176100000254;IE MANUEL DOLORES MONDRAGON;276100000275;NUESTRA SE•ORA DEL CARMEN;RURAL;CORREG SAN FERNANDO;2224063
76100;BOL÷VAR;176100000254;IE MANUEL DOLORES MONDRAGON;276100000321;MARIA AGUSTINA MADRID;RURAL;CORREG RICAURTE;2224063
76113;BUGALAGRANDE;276113000436;IE MARIANO GONZALEZ;276113000517;FRANCISCO DE PAULA SANTANDER;RURAL;VDA LA MORENA;
76113;BUGALAGRANDE;276113000436;IE MARIANO GONZALEZ;276113000274;JUAN JOSE RONDON;RURAL;VDA CHICORAL;
76113;BUGALAGRANDE;276113000436;IE MARIANO GONZALEZ;276113000592;ATANASIO GIRARDOT;RURAL;VDA RAICEROS;
76113;BUGALAGRANDE;276113000436;IE MARIANO GONZALEZ;276113000240;JULIO ARBOLEDA;RURAL;VDATETILLAL;
76113;BUGALAGRANDE;276113000011;IE  CEILAN;276113000282;JOSE ASUNCION SILVA;RURAL;VDA LA ESMERALDA ALTA;
76113;BUGALAGRANDE;276113000011;IE  CEILAN;276113000894;ALFONSO LOPEZ PUMAREJO;RURAL;VDA LA COLONIA;
76113;BUGALAGRANDE;176113000652;IE ANTONIO NARI•O;176113000652;ANTONIO NARI•O;URBANA;CLL 9 CR 6 ESQ;2236195
76113;BUGALAGRANDE;176113000377;IE DIEGO RENGIFO SALAZAR;176113000377;DIEGO RENGIFO SALAZAR;URBANA;CR 6 # 7-98;2.2365e+006
76113;BUGALAGRANDE;176113000377;IE DIEGO RENGIFO SALAZAR;276113000509;JULIAN URIBE URIBE;RURAL;CORREG URIBE;2.0122e+006
76122;CAICEDONIA;276122000864;IE ANTONIA SANTOS;276122000414;SANTA RITA NO 12;RURAL;VDA CAMPO AZUL;2161557
76122;CAICEDONIA;276122000872;IE LA CONSOLITA;276122000261;LA POLA;RURAL;VDA EL CRUCERO;3103874060
76122;CAICEDONIA;276122000872;IE LA CONSOLITA;276122000147;SAN LUIS;RURAL;VDA EL FRONTINO;3103874060
76122;CAICEDONIA;276122000201;IE GILBERTO ALZATE AVENDA•O;276122000651;ESC RUR  MIX  NO 47  JUAN PABLO I;RURAL;VDA SAN GERADO BAJO;
76122;CAICEDONIA;176122000371;IE NORMAL SUPERIOR MARIA INMACULADA;276122000040;CENT DOC NO  36 LAS CARMELITAS;RURAL;VDA  LAS CARMELITAS;2163909
76126;CALIMA;176126000066;IE SIMON BOLIVAR;276126000311;LA PLAYA;RURAL;VDA LA HOLANDA;2533189
76126;CALIMA;176126000066;IE SIMON BOLIVAR;276126000532;ERASMO VIVAS;RURAL;VER LA PALMERA CORREG RIOBRAVO;
76130;CANDELARIA;276130000822;IE MARINO RENJIFO SALCEDO;276130000415;GABRIELA MISTRAL;RURAL;CORREGIMIENTO GUALI;
76130;CANDELARIA;276130000822;IE MARINO RENJIFO SALCEDO;276130000237;LUIS CARLOS PE•A;RURAL;CORREG EL ARENAL;
76130;CANDELARIA;276130000628;IE RODRIGO LLOREDA CAICEDO;276130000121;JOSE ANTONIO GALAN;RURAL;PARQUE PRINCIPAL CORREG EL CARMELO;2619385
76130;CANDELARIA;276130000628;IE RODRIGO LLOREDA CAICEDO;276130000911;JUAN DE LA CRUZ HERRERA;RURAL;CORREG EL CARMELO;
76130;CANDELARIA;176130000461;I.E. INMACULADA CONCEPCION;276130000156;FRANCISCO JOSE DE CALDAS;RURAL;CORREG BUCHITOLO;2620135
76130;CANDELARIA;176130000399;IE NUESTRA SE•ORA DE  LA CANDELARIA;176130000305;ANTONIO NARI•O;URBANA;CLL 13 NO 8-28;2648376
76233;DAGUA;276233001240;IE CRISTOBAL COLON;276233001088;JESUS MARIA MURGUEITIO;RURAL;VDA JORDANCITO;2471496
76233;DAGUA;276233001240;IE CRISTOBAL COLON;276233000391;ANTONIO VILLAVICENCIO;RURAL;VDA EL JORDAN;2471496
76233;DAGUA;276233000715;IE BORRERO AYERBE;276233000138;CARLOS LOZANO LOZANO;RURAL;JIGUALES;0
76233;DAGUA;276233000715;IE BORRERO AYERBE;276233000197;MANUEL MURILLO TORO;RURAL;KM 26;9.22472e+008
76233;DAGUA;276233000651;IE EL QUEREMAL;276233001061;MARCO FIDEL SUAREZ;RURAL;VDA. LAS CAMELIAS;0
76233;DAGUA;276233000588;IE MIGUEL ANTONIO CARO;276233000421;ATANASIO GIRARDOT;RURAL;CORREG. PROVIDENCIA;0
76233;DAGUA;276233000511;IE EL PALMAR;276233001304;GIMNASIO DEL DAGUA;RURAL;CORREG EL PALMAR;2090145
76233;DAGUA;276233000511;IE EL PALMAR;276233000219;ALFREDO VASQUEZ COBO;RURAL;VDA. CENTELLA;0
76233;DAGUA;176233000656;IE  DEL DAGUA;176233001016;INDALECIO LIEVANO AGUIRRE.;URBANA;BARRIO BELLAVISTA;0
76243;EL µGUILA;276243000497;IE SANTA MARTA;276243000179;ALBERTINA HOYOS DE OSORIO;RURAL;VDA EL PITAL;2157024
76243;EL µGUILA;276243000497;IE SANTA MARTA;276243000578;ESPIRITU SANTO;RURAL;VDA BUENOS AIRES;2157024
76243;EL µGUILA;176243000026;IE EL AGUILA;276243000721;SAGRADA FAMILIA;RURAL;VDA LA GUERRA;2066151
76243;EL µGUILA;176243000026;IE EL AGUILA;276243000039;MAR÷A INMACULADA;RURAL;VDA CAJA DE ORO;2066151
76243;EL µGUILA;176243000026;IE EL AGUILA;276243000608;INES FERNANDEZ DE AGUDELO;RURAL;VDA BUENOS AIRES;2066151
76243;EL µGUILA;176243000026;IE EL AGUILA;276243000128;CAMILO TORRES;RURAL;VDA LA BOCATOMA;2066151
76243;EL µGUILA;276243000071;IE JUSTINIANO ECHAVARRIA;276243000357;SANTA ISABEL;RURAL;CORREG SAN JOSE;
